AARTI	Hindu ceremony [n]
SWARAJ	(in British India) self-government [n]
SWARAJES	SWARAJ, (in British India) self-government [n]
SWARAJISM	SWARAJ, (in British India) self-government [n]
SWARAJIST	SWARAJ, (in British India) self-government [n]
SWARAJISTS	SWARAJ, (in British India) self-government [n]
SYCE	(formerly, in India) a servant employed to look after horses, etc [n]
SYCES	SYCE, (formerly, in India) a servant employed to look after horses, etc [n]
TABLA	one of a pair of Indian drums played with the hands [n]
TABLAS	TABLA, one of a pair of Indian drums played with the hands [n]
TAHSIL	administrative division of a zila in certain states in India [n]
TAHSILS	TAHSIL, administrative division of a zila in certain states in India [n]
TAKA	standard monetary unit of Bangladesh, divided into 100 paise [n]
TAKAS	TAKA, standard monetary unit of Bangladesh, divided into 100 paise [n]
TALIPAT	talipot (palm tree of East India)
TALIPOT	palm tree of East India [n]
TALIPOTS	TALIPOT, palm tree of East India [n]
TAMASHA	(in India) a show [n]
TAMASHAS	TAMASHA, (in India) a show [n]
TAMBOURA	stringed instrument used in Indian music [n]
TAMBOURAS	TAMBOURA, stringed instrument used in Indian music [n]
TANADAR	commanding officer of an Indian police station [n]
TANADARS	TANADAR, commanding officer of an Indian police station [n]
TANDOOR	type of Indian clay oven [n]
TANDOORI	(of food) cooked in an Indian clay oven [adj] / Indian method of cooking meat or vegetables on a spit in a clay oven [n]
TANDOORIS	TANDOORI, (of food) cooked in an Indian clay oven [adj]
TANDOORS	TANDOOR, type of Indian clay oven [n]
TANNA	Indian police station or army base [n]
TANNAH	tanna (Indian police station or army base)
TANNAS	TANNA, Indian police station or army base [n]
TASAR	tussore (strong coarse brownish Indian silk)
TASSA	type of Indian kettledrum [n]
TASSAS	TASSA, type of Indian kettledrum [n]
TAVA	thick Indian frying pan [n]
TAVAH	TAVA, thick Indian frying pan [n]
TAVAS	TAVA, thick Indian frying pan [n]
TEEK	in Indian English, well [adj]
THAGI	thuggee ((formerly) the methods of thugs in India)
THALI	Indian meal consisting of several small dishes [n]
THALIS	THALI, Indian meal consisting of several small dishes [n]
THANADAR	tanadar (commanding officer of an Indian police station)
THUGGEE	(formerly) the methods of thugs in India [n]
THUGGEES	THUGGEE, (formerly) the methods of thugs in India [n]
TIFFIN	(in India) a light meal, esp at midday [n] / take tiffin [v]
TIFFINED	TIFFIN, (in India) a light meal, esp at midday [n]
TIFFINING	TIFFIN, (in India) a light meal, esp at midday [n]
TIFFINS	TIFFIN, (in India) a light meal, esp at midday [n]
TIKKA	marinated in spices and dry-roasted [adj] / coloured spot or mark worn by Hindus [n]
TILAK	coloured spot or mark worn by Hindus [n]
TILAKS	TILAK, coloured spot or mark worn by Hindus [n]
TOLA	unit of weight, used in India [n]
TOLAS	TOLA, unit of weight, used in India [n]
TONGA	light two-wheeled vehicle used in rural areas of India [n]
TONGAS	TONGA, light two-wheeled vehicle used in rural areas of India [n]
TORAN	(in Indian architecture) an archway [n]
TORANA	toran ((in Indian architecture) an archway)
TORANS	TORAN, (in Indian architecture) an archway [n]
TULBAN	TURBAN, Muslim, Hindu, or Sikh man's head covering [n]
TULWAR	Indian sabre [n]
TULWARS	TULWAR, Indian sabre [n]
TURBAN	Muslim, Hindu, or Sikh man's head covering [n]
TURBAND	TURBAN, Muslim, Hindu, or Sikh man's head covering [n]
TURBANED	TURBAN, Muslim, Hindu, or Sikh man's head covering [n]
TURBANNED	TURBAN, Muslim, Hindu, or Sikh man's head covering [n]
TURBANS	TURBAN, Muslim, Hindu, or Sikh man's head covering [n]
TURBANT	TURBAN, Muslim, Hindu, or Sikh man's head covering [n]
TURBETH	TURPETH, convolvulaceous plant of India, having roots with purgative properties [n]
TURBITH	TURPETH, convolvulaceous plant of India, having roots with purgative properties [n]
TURBOND	TURBAN, Muslim, Hindu, or Sikh man's head covering [n]
TURPETH	convolvulaceous plant of India, having roots with purgative properties [n]
TURPETHS	TURPETH, convolvulaceous plant of India, having roots with purgative properties [n]
TURRIBANT	TURBAN, Muslim, Hindu, or Sikh man's head covering [n]
TUSSAH	tussore (strong coarse brownish Indian silk)
TUSSAR	TUSSORE, strong coarse brownish Indian silk [n]
TUSSEH	TUSSORE, strong coarse brownish Indian silk [n]
TUSSER	tussore (strong coarse brownish Indian silk)
TUSSOR	TUSSORE, strong coarse brownish Indian silk [n]
TUSSORE	strong coarse brownish Indian silk [n]
TUSSORES	TUSSORE, strong coarse brownish Indian silk [n]
TUSSUR	TUSSORE, strong coarse brownish Indian silk [n]
URVA	Indian mongoose [n]
URVAS	URVA, Indian mongoose [n]
VAKEEL	(in India) ambassador [n]
VAKEELS	VAKEEL, (in India) ambassador [n]
VAKIL	vakeel ((in India) ambassador)
VANASPATI	hydrogenated vegetable fat commonly used in India as a substitute for butter [n]
VANASPATIS	VANASPATI, hydrogenated vegetable fat commonly used in India as a substitute for butter [n]
VARNA	any of the four Hindu castes [n]
VARNAS	VARNA, any of the four Hindu castes [n]
VIMANA	Indian mythological chariot of the gods [n]
VIMANAS	VIMANA, Indian mythological chariot of the gods [n]
VINDALOO	type of very hot Indian curry [n]
VINDALOOS	VINDALOO, type of very hot Indian curry [n]
WANDEROO	macaque of India and Sri Lanka [n]
WANDEROOS	WANDEROO, macaque of India and Sri Lanka [n]
XERAFIN	former Indian coin [n]
XERAFINS	XERAFIN, former Indian coin [n]
XERAPHIN	xerafin (former Indian coin)
YAAR	in informal Indian English, a friend [n]
YAARS	YAAR, in informal Indian English, a friend [n]
YETI	large legendary manlike creature alleged to inhabit the Himalayan Mountains [n]
YETIS	YETI, large legendary manlike creature alleged to inhabit the Himalayan Mountains [n]
YOGA	Hindu method of exercise and discipline [n]
YOGAS	YOGA, Hindu method of exercise and discipline [n]
YOGIC	YOGA, Hindu method of exercise and discipline [n]
YOJAN	Indian unit of distance [n]
YOJANA	yojan (Indian unit of distance)
YOJANS	YOJAN, Indian unit of distance [n]
YUG	yuga ((in Hindu cosmology) one of the four ages of mankind)
YUGA	(in Hindu cosmology) one of the four ages of mankind [n]
YUGAS	YUGA, (in Hindu cosmology) one of the four ages of mankind [n]
ZAMINDAR	(in India) the owner of an agricultural estate [n]
ZAMINDARI	(in India) a large agricultural estate [n]
ZAMINDARIS	ZAMINDARI, (in India) a large agricultural estate [n]
ZAMINDARS	ZAMINDAR, (in India) the owner of an agricultural estate [n]
ZAMINDARY	zamindari ((in India) a large agricultural estate)
ZANANA	zenana (part of Muslim or Hindu home reserved for women and girls)
ZEMINDAR	(in India) the owner of an agricultural estate [n]
ZEMINDARI	(in India) a large agricultural estate [n]
ZEMINDARIS	ZEMINDAR, (in India) the owner of an agricultural estate [n]
ZEMINDARS	ZEMINDAR, (in India) the owner of an agricultural estate [n]
ZEMINDARY	zemindari ((in India) a large agricultural estate)
ZENANA	part of Muslim or Hindu home reserved for women and girls [n]
ZENANAS	ZENANA, part of Muslim or Hindu home reserved for women and girls [n]
ZILA	administrative district in India [n]
ZILAS	ZILA, administrative district in India [n]
ZILLA	zila (administrative district in India)
ZILLAH	zila (administrative district in India)
ZINDABAD	long live: used as part of a slogan in India, Pakistan, etc [interj]
